"Client","Application","Version","Environment","DeploymentStatus","DeploymentStartDateTime","DeploymentEndDateTime","TriggeredBy","ActionRunUrl"
"MTEU","Recon","2.26.0706.613","UAT","Approved","2026-07-09 09:55:25 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29009269361"
"MTEU","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-09 11:09:00 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29013054348"
"MTEU","Recon","2.26.0706.613","UAT","Approved","2026-07-09 11:10:42 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29013054348"
"MTEU","Recon","2.26.0703.45","UAT","Approval Pending","2026-07-09 11:38:21 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29015490629"
"MTEU","Recon","2.26.0703.45","UAT","Approved","2026-07-09 11:40:16 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29015490629"
"MTEU","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-09 11:41:16 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29015648407"
"MTEU","Recon","2.26.0706.613","UAT","Approved","2026-07-09 11:49:50 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29015648407"
"MTEU","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-09 12:57:27 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29019727769"
"MTEU","Recon","2.26.0706.613","UAT","Approved","2026-07-09 13:01:32 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29019727769"
"MTEU","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-09 13:55:53 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29023279662"
"MTEU","Recon","2.26.0706.613","UAT","Approved","2026-07-09 13:56:47 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29023279662"
"BAIN","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-09 14:29:42 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29025586492"
"BAIN","Recon","2.26.0706.613","UAT","Approved","2026-07-09 14:30:10 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29025586492"
"BAIN","Recon","2.26.0706.614","UAT","Succeeded","2026-07-09 14:36:46 UTC","2026-07-09 14:40:26 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29026014809"
"BAIN","Recon","2.26.0706.614","UAT","Approved","2026-07-09 14:35:43 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29025874589"
"DKCM","Recon","2.26.0706.614","UAT","Succeeded","2026-07-09 14:43:02 UTC","2026-07-09 14:46:30 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29026440542"
"DKCM","Recon","2.26.0706.614","UAT","Approved","2026-07-09 14:41:59 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29026369307"
"KLIM","Recon","2.26.0706.614","UAT","Succeeded","2026-07-13 17:47:33 UTC","2026-07-13 17:51:14 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29271756479"
"KLIM","Recon","2.26.0706.614","UAT","Approved","2026-07-09 14:50:43 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29026806034"
"MASH","Recon","2.26.0706.614","UAT","Succeeded","2026-07-09 15:05:49 UTC","2026-07-09 15:08:40 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29028011420"
"MASH","Recon","2.26.0706.614","UAT","Approved","2026-07-09 15:04:40 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29027389247"
"MTEU","Recon","2.26.0706.613","UAT","Failed","2026-07-09 15:43:44 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29030657391"
"MTEU","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-10 09:22:56 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29082835033"
"MTEU","Recon","2.26.0706.613","UAT","Approved","2026-07-10 09:24:26 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29082835033"
